,mae_mean,var_mean,ppmc_mean,mae_std,var_std,ppmc_std
56,0.0006965210531260954,0.004148433626766892,3.983147536942521e-05,2.0942502107702288e-07,5.164617898361236e-06,7.904509678171283e-10
57,0.00066979862759537,0.00415231529147997,3.9522690719465794e-05,2.0259857331111715e-07,5.178148783170107e-06,8.151072544756384e-10
58,0.0006834788057474762,0.0039255055553534925,4.029907470552218e-05,2.0898184287981166e-07,4.693033734394988e-06,8.45861599943971e-10
59,0.0007854883684412706,0.0038413252935533744,4.296384073162413e-05,2.528551466329841e-07,4.810314769297316e-06,7.974788524084174e-10
60,0.0008323868056133918,0.003771867188606053,4.3969535387950104e-05,2.7475100830888465e-07,4.7092136442612695e-06,7.783918198328332e-10
61,0.0007755937625226402,0.003799862781080255,3.781028182086616e-05,2.3588254205084162e-07,4.9791580792902305e-06,4.277431172317273e-10
62,0.0007333333395671423,0.0036869082395228525,3.739432768731625e-05,2.1814478266157037e-07,4.746678803205467e-06,4.023208736445424e-10
63,0.0006674209446827661,0.003584928673276243,3.5831697105975595e-05,1.7967192518631963e-07,4.548007723833132e-06,3.736586979230191e-10
64,0.000620163928668917,0.003778535370303567,3.5044900691043706e-05,1.519740110371634e-07,4.036564481155682e-06,3.617148345449277e-10
65,0.0006372735281785423,0.0038296687174675407,3.5207932305993776e-05,1.3856428123999112e-07,3.96630499307449e-06,3.571221620489412e-10
66,0.0006289750517484604,0.003952520570097434,3.560955191598645e-05,1.3765476330520147e-07,3.8457226924107754e-06,3.6562868683950166e-10
