,0
1560,9.53301477470769e-07
1570,9.364638662867366e-07
1580,9.444272824505929e-07
1590,9.393851587620654e-07
1600,9.410138934565443e-07
1610,9.249022745664266e-07
1620,9.094009004659184e-07
1630,8.955710096037268e-07
1640,8.840249216218463e-07
1650,8.694656463811462e-07
1660,8.566030925824354e-07
1670,8.487828975664844e-07
1680,8.39406309746074e-07
1690,8.28398102507882e-07
1700,8.146805251184057e-07
1710,8.020027551078915e-07
1720,7.892920988944424e-07
1730,7.7673685054656e-07
1740,7.679040550336001e-07
1750,7.98527388399226e-07
1760,7.907713051514588e-07
1770,7.788678818400584e-07
1780,7.788319600939685e-07
1790,7.687064511409214e-07
1800,7.569674512038962e-07
1810,7.459850498544182e-07
1820,7.395305661102655e-07
1830,7.32288203918576e-07
1840,7.212829499463583e-07
1850,7.106478800157589e-07
1860,7.022710892015642e-07
1870,6.92927098205229e-07
1880,6.830650375769595e-07
1890,6.7504177645409e-07
1900,6.654503221586744e-07
1910,6.558416083331396e-07
1920,6.471927016665319e-07
1930,6.386400719801669e-07
1940,6.371009597935145e-07
1950,6.286568406181519e-07
1960,6.199158605039049e-07
1970,6.110885203307848e-07
1980,6.085237005151277e-07
1990,6.002014347331633e-07
2000,5.945697495482149e-07
2010,5.865505069006262e-07
2020,5.812220849144538e-07
2030,5.753485585583158e-07
2040,5.690653141291295e-07
2050,5.613346828096118e-07
2060,5.544246848672834e-07
2070,5.470323745377121e-07
2080,5.404367599604471e-07
2090,5.3398828605267e-07
2100,5.271086131254238e-07
2110,5.219776852495179e-07
2120,5.194949491641895e-07
2130,5.137056040405512e-07
2140,5.072732431901713e-07
2150,5.025584757163567e-07
2160,4.991404763400372e-07
2170,4.940003487823186e-07
2180,5.029221569822659e-07
2190,4.993767350975014e-07
2200,4.93888909968053e-07
2210,4.89510354610432e-07
2220,4.842799326690775e-07
2230,4.793231633614293e-07
2240,4.744249150108738e-07
2250,4.6856146718599375e-07
2260,4.656579252267246e-07
2270,4.6422655668838815e-07
2280,4.6241967942740725e-07
2290,4.568622558701345e-07
2300,4.5125038572019166e-07
2310,4.461824227112704e-07
2320,4.4156183027289423e-07
2330,4.387677070047558e-07
2340,4.33960905953044e-07
2350,4.291366837736832e-07
2360,4.241715429568371e-07
2370,4.2182151158892245e-07
2380,4.1851697846631563e-07
